City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,zeya,53.75,127.2667,31.05,80,2,3.24,RU,1682612550
283,al abyar,32.19,20.5965,63.21,47,0,18.14,LY,1682612551
284,gadzhiyevo,69.2551,33.3362,34.56,87,41,16.04,RU,1682612553
285,skovorodino,53.9833,123.9167,22.21,95,14,2.82,RU,1682612554
286,mana,5.6592,-53.7767,79.38,82,100,4.79,GF,1682612555
287,salalah,17.0151,54.0924,86.09,79,20,9.22,OM,1682612556
288,erenhot,43.6475,111.9767,43.86,23,42,17.52,CN,1682612558
289,cherepovets,59.1333,37.9,57.02,54,20,4.47,RU,1682612559
290,karratha,-20.7377,116.8463,81.36,49,100,5.23,AU,1682612560
291,kasungu,-13.0333,33.4833,63.07,78,7,5.79,MW,1682612561
292,touros,-5.1989,-35.4608,79.52,85,97,7.47,BR,1682612563
293,bubaque,11.2833,-15.8333,78.94,70,52,14.99,GW,1682612564
294,meulaboh,4.1363,96.1285,75.97,93,100,4.38,ID,1682612565
295,amga,60.8953,131.9608,23.36,99,100,2.19,RU,1682612567
296,bodaybo,57.8506,114.1933,32.7,98,100,2.77,RU,1682612568
297,utrik,11.2278,169.8474,79.79,83,54,17.92,MH,1682612569
298,makokou,0.5738,12.8642,77.99,87,97,2.95,GA,1682612570
299,minab,27.1467,57.0801,80.92,50,4,2.3,IR,1682612572
300,belaya kholunitsa,58.84,50.8528,51.31,91,99,3.78,RU,1682612573
301,le port,-20.9373,55.2919,75.2,90,17,4.14,RE,1682612574
302,usogorsk,63.4106,48.6872,31.46,89,17,6.69,RU,1682612575
303,remire-montjoly,4.9167,-52.2667,80.64,83,75,4.61,GF,1682612577
304,tweed heads,-28.1817,153.547,64.96,94,100,3.44,AU,1682612280
305,kobayashi,31.9833,130.9833,51.3,74,45,1.83,JP,1682612579
306,montepuez,-13.1256,38.9997,68.79,80,9,4.12,MZ,1682612580
307,piacabucu,-10.4056,-36.4344,84.04,67,42,8.1,BR,1682612582
308,khorinsk,52.1657,109.7726,32.68,75,100,4.63,RU,1682612583
309,pont rouge,48.8833,-72.0825,50.11,65,72,5.12,CA,1682612584
310,daru,-9.0763,143.2092,78.55,88,100,12.46,PG,1682612587
311,susuman,62.7833,148.1667,8.74,99,100,3.58,RU,1682612588
312,smithers,54.7804,-127.1743,37.72,65,75,4.61,CA,1682612589
313,pickering,43.9001,-79.1329,51.64,49,0,8.05,CA,1682612551
314,kone,-21.0595,164.8658,69.67,91,11,4.79,NC,1682612592
315,sao vicente,-23.9631,-46.3919,84.38,61,75,7.0,BR,1682612595
316,rabo de peixe,37.8,-25.5833,65.71,82,20,14.97,PT,1682612596
317,arno,60.1167,18.6333,39.78,63,99,8.43,SE,1682612597
318,kolondieba,11.0882,-6.8926,104.7,9,38,4.9,ML,1682612598
319,freetown,8.484,-13.2299,84.27,59,7,9.46,SL,1682612599
320,st. paul,44.9444,-93.0933,62.29,54,75,8.05,US,1682612416
321,pyinmana,19.7333,96.2167,85.44,29,0,5.17,MM,1682612602
322,xanxere,-26.8769,-52.4042,68.11,57,59,4.05,BR,1682612603
323,saint-hippolyte,42.7833,2.9667,78.39,60,0,8.05,FR,1682612604
324,sittwe,20.15,92.9,83.21,74,26,6.91,MM,1682612606
325,berezovyy,51.6667,135.7,30.24,91,96,3.22,RU,1682612607
326,banda aceh,5.5577,95.3222,81.37,80,99,6.22,ID,1682612608
327,aykhal,66.0,111.5,11.26,97,37,3.8,RU,1682612609
328,balykshi,47.0667,51.8667,64.4,72,0,11.18,KZ,1682612610
329,yuci,37.6803,112.7319,49.75,81,20,4.47,CN,1682612612
330,tual,-5.6667,132.75,83.03,77,96,8.84,ID,1682612613
331,fuling,29.7022,107.3919,66.0,81,86,2.75,CN,1682612614
332,weno,7.4515,151.8468,75.15,100,100,9.22,FM,1682612615
333,limbazi,57.5129,24.7194,48.04,41,49,6.13,LV,1682612617
334,pisco,-13.7,-76.2167,75.25,78,7,6.91,PE,1682612618
335,letlhakane,-21.4167,25.5833,81.19,27,13,2.24,BW,1682612619
336,rakops,-21.0167,24.3333,84.02,26,3,7.58,BW,1682612621
337,tyumentsevo,53.3224,81.498,59.97,46,100,9.82,RU,1682612622
338,mossel bay,-34.1831,22.146,64.33,77,27,13.35,ZA,1682612624
339,vernon,50.2581,-119.2691,54.93,29,70,2.3,CA,1682612412
340,inhambane,-23.865,35.3833,76.98,83,20,11.5,MZ,1682612509
341,inyonga,-6.7167,32.0667,69.48,79,82,3.15,TZ,1682612629
342,mar del plata,-38.0023,-57.5575,73.83,68,20,6.91,AR,1682612630
343,kindu,-2.95,25.95,76.95,85,96,2.84,CD,1682612631
344,zharkent,44.1628,80.0,66.43,21,5,7.38,KZ,1682612634
345,mount gambier,-37.8333,140.7667,57.97,89,41,10.74,AU,1682612635
346,dengzhou,37.8086,120.7508,53.42,67,54,15.37,CN,1682612636
347,katabu,-4.9333,122.5167,75.45,94,99,2.06,ID,1682612637
348,bayanaul,50.7889,75.6956,61.11,39,78,4.32,KZ,1682612639
349,bourgoin-jallieu,45.5833,5.2833,72.39,60,100,1.97,FR,1682612640
350,camapua,-19.5314,-54.0439,81.97,64,8,5.82,BR,1682612641
351,lerwick,60.1545,-1.1494,44.6,56,65,12.82,GB,1682612642
352,ostashkov,57.1467,33.1075,50.9,91,100,7.49,RU,1682612644
353,yabelo,4.8833,38.0833,62.44,82,51,4.79,ET,1682612645
354,yemel'yanovo,56.1681,92.6767,45.41,76,40,11.18,RU,1682612646
355,san juan nepomuceno,9.9516,-75.082,91.18,48,100,7.83,CO,1682612649
356,callaway,30.153,-85.5699,73.33,91,100,11.5,US,1682612651
357,tannum sands,-23.9504,151.3693,67.89,73,40,6.91,AU,1682612652
358,northam,51.0333,-4.2167,56.25,90,100,15.46,GB,1682612653
359,rudbar,30.15,62.6,87.69,13,12,6.93,AF,1682612654
360,dalai,45.5,124.3,55.54,71,100,5.95,CN,1682612655
361,sheridan,44.8333,-106.9173,54.3,65,100,8.01,US,1682612657
362,bawshar,23.5556,58.3989,85.37,54,0,5.75,OM,1682612658
363,leiyang,26.4024,112.8591,69.94,87,90,4.36,CN,1682612659
